lat,lon
47.5220694,-122.3899851
47.4204096,-122.3238395
47.6519241,-122.1821734
47.7241323,-122.3688154
47.602477,-122.295255
47.638936,-122.310033
47.65153,-122.399156
47.556238,-122.183781
47.6603628,-122.2901093
47.340805,-122.335097
47.6916242,-122.3399904
47.657791,-122.285851
47.5149435,-122.1173614
47.691287,-122.115142
47.607465,-122.194727
47.332766,-122.173121
47.730807,-122.339987
47.5402249,-121.886909
47.631986,-122.118983
47.680591,-122.04765
47.524633,-122.39091
47.320557,-122.396914
47.659637,-122.33824
47.3614458,-122.0349594
47.734129,-121.976094
47.484656,-122.080815
47.633743,-122.371161
47.729608,-122.240104
47.580123,-122.305841
47.4882002,-122.3249055
47.5641085,-122.1598595
47.592913,-121.988071
47.7771092,-122.3390898
47.523912,-122.286814
47.668049,-121.985951
47.443829,-122.190047
47.687832,-122.286042
47.699407,-122.347078
47.704135,-122.3519
47.731023,-122.341006
47.331772,-122.267586
47.480426,-122.126121
47.585418,-122.038026
47.48713,-122.099088
47.4138865,-122.333177
47.636378,-122.279963
47.692586,-122.362894
47.63313,-122.09387
47.67382,-122.297154
47.720504,-122.170893
47.564004,-122.092901
47.696905,-122.3714743
47.564457,-122.092989
47.591497,-122.295045
47.7079547,-122.1092672
47.5402983,-122.0728042
47.7337849,-122.3090881
47.5400515,-122.0269688
47.685657,-122.31533
47.5100215,-122.1848842
47.5396404,-122.0728223
47.544207,-122.01294
47.705085,-122.111968
47.724519,-122.199907
47.679772,-122.362051
47.709854,-122.291102
47.72262,-122.097896
47.375047,-122.139737
47.545157,-122.392986
47.680948,-122.361018
47.7001009,-122.3616756
47.695036,-122.36959
47.367149,-122.311931
47.549753,-122.077085
47.507083,-122.369073
47.672504,-122.271961
47.523078,-122.383096
47.550949,-122.356294
47.7361943,-122.1925473
47.524951,-122.356046
47.762002,-122.355303
47.6224611,-122.1161854
47.765985,-122.23491
47.559986,-122.104988
47.39556,-122.311161
47.6552492,-121.9120799
47.4476452,-122.3315913
47.716268,-122.229079
47.373366,-122.128637
47.760875,-122.36078
47.737311,-122.241315
47.499723,-122.146282
47.49018,-122.220191
47.619043,-122.300948
47.4444102,-122.1819599
47.719828,-122.170929
47.569479,-122.131863
47.74668,-122.240926
47.699204,-122.378934
47.297476,-122.36995
47.6072384,-122.1246533
47.672582,-122.01196
47.307569,-122.362018
47.696519,-122.323971
47.6423804,-122.3859036
47.642426,-122.406916
47.486293,-121.729629
47.6175647,-122.0450616
47.744261,-122.219963
47.5688793,-122.1256518
47.607473,-122.016934
47.729139,-122.339235
47.637788,-122.040094
47.668703,-122.264002
47.715587,-122.10303
47.580321,-122.119148
47.635917,-122.051876
47.662482,-122.291395
47.5272517,-122.1432392
47.318498,-122.280328
47.5390905,-122.1790133
47.739989,-122.048378
47.774118,-122.378914
47.697723,-122.291967
47.683157,-122.342968
47.55487,-122.291917
47.572161,-122.120107
47.332406,-122.279812
47.687162,-122.348932
47.531108,-122.228298
47.314881,-122.378197
47.665256,-122.333082
47.6426248,-122.3266998
47.326578,-122.347986
47.619942,-122.300099
47.5700428,-122.2961004
47.6797988,-122.3850407
47.459616,-122.20804
47.693766,-122.342078
47.5973209,-122.202214
47.6787678,-122.1169027
47.672138,-122.380944
47.487684,-122.33503
47.6718251,-122.2670109
47.740133,-122.317124
47.634391,-121.9967
47.327699,-122.000984
47.71636,-122.212059
47.353433,-122.057114
47.4717871,-122.3421435
47.42901,-122.154138
47.64528,-122.37279
47.3783444,-122.0034373
47.692686,-122.338217
47.650242,-122.197106
47.361415,-122.118894
47.425066,-122.18581
47.6534519,-122.1279116
47.609795,-122.169041
47.654006,-122.346263
47.680326,-121.914044
47.7658112,-122.2232087
47.479874,-122.343062
47.335806,-122.320232
47.630768,-122.353841
47.587998,-122.304126
